id,name,count
2,terrainFiller,63581
5,terrDirt,208
16,terrGravel,658
17,terrAsphalt,3522
310,woodShapes:pole,23
2125,woodShapes:fence,85
2128,woodShapes:fenceBroken1,5
2129,woodShapes:fenceBroken2,5
6613,concreteShapes:billboard,8
6623,concreteShapes:pillar100Open,32
8332,concreteShapes:roadPaintDash,893
8336,concreteShapes:roadPaintDashDiagonalFiller,14
8341,concreteShapes:roadPaintArrowLeft,1
8342,concreteShapes:roadPaintArrowRight,1
17147,cntTrashPile03,1
17304,woodPoleUtilitySupport,8
17305,woodPillar375,32
17306,woodPillar375UtilityTop,4
17309,utilityInsulator,8
18225,guardRailStraight,40
18226,guardRailPole,27
18227,guardRailBarrierFlipped,7
18228,guardRailBarrier,7
18459,rockResource,3
18460,rockResourceBroke1,3
18462,rockResource02,3
21254,signRoadCourtlandMaple,1
21277,signRoadSpeed45,1
21280,signRoadStop,1
21883,cntCar03SedanDamage0RandomHelper,2
21884,cntCar03SedanDamage1RandomHelper,1
22006,treeSmallRandomHelper,11
22008,treeMediumRandomHelper,8
22009,treeLargeRandomHelper,8
