id,name,count
2,terrainFiller,13601
16,terrGravel,930
17,terrAsphalt,7099
310,woodShapes:pole,4
410,woodShapes:plateHalfTriangle,10
411,woodShapes:plateQuarterTriangle,2
1017,woodShapes:plateWedge60Tip,1
1644,woodShapes:windowTrim,14
2125,woodShapes:fence,2
3945,brickShapes:brickHalfCenteredDestroyed01,2
3946,brickShapes:brickHalfCenteredDestroyed02,2
3948,brickShapes:brickHalfCenteredDestroyed04,4
6433,concreteShapes:cube,391
6449,concreteShapes:cubeHalfCentered,169
6467,concreteShapes:quarterCenteredWall,89
6484,concreteShapes:pole,144
6540,concreteShapes:poleSquareCornerRound,12
6549,concreteShapes:plate,228
6613,concreteShapes:billboard,21
6621,concreteShapes:pillar100,6
6852,concreteShapes:plateRound,7
7174,concreteShapes:plateRamp,4
7502,concreteShapes:cubeTrimHalfSplit4Sided,23
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,271
7689,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,1
7695,concreteShapes:cubeTrimQuarterEdgeDouble,125
7700,concreteShapes:cubeTrimCornerRound,43
8325,concreteShapes:plateSidewalkCrooked,47
8326,concreteShapes:plateSidewalkBroke01,13
8327,concreteShapes:plateSidewalkBroke02,18
8328,concreteShapes:plateSidewalkBroke03,23
8329,concreteShapes:plateSidewalkBroke04,30
8332,concreteShapes:roadPaintDash,1009
8333,concreteShapes:roadPaintDashCNTR,210
8335,concreteShapes:roadPaintDiagonal,32
8336,concreteShapes:roadPaintDashDiagonalFiller,58
8340,concreteShapes:roadPaintArrowStraight,2
8342,concreteShapes:roadPaintArrowRight,3
8353,concreteShapes:roadPaintWedge,1
8354,concreteShapes:roadPaintWedgeTip,1
8355,concreteShapes:roadPaintWedgeTip2,1
8356,concreteShapes:roadPaintWedge2,1
12607,corrugatedMetalShapes:cube,82
12622,corrugatedMetalShapes:cubeHalf,29
12658,corrugatedMetalShapes:pole,53
12685,corrugatedMetalShapes:cubePoleCorner,4
12723,corrugatedMetalShapes:plate,48
12735,corrugatedMetalShapes:plateCorner,4
12753,corrugatedMetalShapes:plateHalf,10
12807,corrugatedMetalShapes:pillar50,180
12835,corrugatedMetalShapes:pillar0.025,4
12839,corrugatedMetalShapes:pillar0.025Middle,7
13192,corrugatedMetalShapes:wedgeNarrowLow,14
13976,corrugatedMetalShapes:doorTrim1m,33
14025,corrugatedMetalShapes:windowStoreOneSidedFull,12
14029,corrugatedMetalShapes:windowStoreCornerFull,24
14040,corrugatedMetalShapes:windowStoreOneSidedBroken,4
14044,corrugatedMetalShapes:windowStoreCornerBroken,8
14057,corrugatedMetalShapes:windowStoreFourSidedEmpty,1
14488,corrugatedMetalShapes:industrialFenceBottom,115
14489,corrugatedMetalShapes:industrialFenceBottomBrokenLeft,5
14490,corrugatedMetalShapes:industrialFenceBottomBrokenRight,4
14491,corrugatedMetalShapes:industrialFenceTop,58
14635,corrugatedMetalShapes:signLetter_p,1
16724,bulletproofShapes:windowStoreTwoSidedBulletproofFull,2
16725,bulletproofShapes:windowStoreThreeSidedBulletproofFull,6
16726,bulletproofShapes:windowStoreFourSidedBulletproofFull,2
16990,cntWoodenChestMilitaryClosed,1
17096,drinkingfountainSingle,1
17151,cntTrashPile01,1
17152,cntTrashPile02,4
17153,cntTrashPile03,5
17157,cntTrashPile07,3
17160,garbage_decor1,17
17161,garbage_decor2,7
17162,garbage_decor3,1
17215,cntFancyGarbageCan,2
17225,cntDumpster,2
17303,cntBagsRandomLootHelper,1
17310,woodPoleUtilitySupport,16
17311,woodPillar375,64
17312,woodPillar375UtilityTop,8
17314,utilityTransformerHanging,3
17315,utilityInsulator,16
17325,controlPanelBase02,1
17377,controlPanelBase06Blue,1
17381,controlPanelTop01Blue,1
17387,controlPanelTop07Blue,2
17677,lightPanelLEDWhite,4
17690,industrialLight01,3
17697,lightIndustrialHangingWhite,1
17813,streetLight01,8
17814,streetLight02,10
17815,streetLight03,1
17816,streetLight04,1
17846,burningBarrel,2
18204,chainlinkFenceDoor,2
18206,chainlinkFencePole,6
18207,chainlinkFencePole02,4
18215,chainlinkFenceMiddleRailPoleRight,4
18219,chainlinkFenceTopRailPoleLeft,4
18222,chainlinkFenceBottomPlain,81
18223,chainlinkFenceBottomPlainPoleLeft,35
18224,chainlinkFenceBottomPlainPoleRight,17
18226,chainlinkFenceTopPlainRail,75
18227,chainlinkFenceTopPlainPoleLeft,33
18228,chainlinkFenceTopPlainPoleRight,13
18255,guardRailStraight,20
