id,name,count
2,terrainFiller,221749
16,terrGravel,831
17,terrAsphalt,9774
318,woodShapes:poleSideCentered,6
468,woodShapes:pillar50,27
1746,woodShapes:windowTrim,5
2228,woodShapes:tableDynamic,2
2523,brickShapes:cube,73
2539,brickShapes:cubeHalfCentered,224
3674,brickShapes:cubeTrimHalfSplit4Sided,36
4330,brickShapes:brickDestroyed03,3
4333,brickShapes:brickHalfCenteredDestroyed01,5
4334,brickShapes:brickHalfCenteredDestroyed02,1
4335,brickShapes:brickHalfCenteredDestroyed03,1
4336,brickShapes:brickHalfCenteredDestroyed04,5
5198,cobblestoneShapes:arch3m,8
5199,cobblestoneShapes:arch3mTip,8
5200,cobblestoneShapes:arch3mMiddle,4
7051,concreteShapes:cube,4661
7066,concreteShapes:cubeHalf,258
7067,concreteShapes:cubeHalfCentered,56
7089,concreteShapes:cubeQuarter,185
7091,concreteShapes:quarterCenteredWall,113
7108,concreteShapes:pole,141
7166,concreteShapes:poleSquareCornerRound,12
7175,concreteShapes:plate,584
7239,concreteShapes:billboard,48
7247,concreteShapes:pillar100,4
7274,concreteShapes:pillar50CenterPlate,2
7342,concreteShapes:3mTunnelCenter,396
7343,concreteShapes:3mTunnelCenterCorner,2
7346,concreteShapes:3mTunnelCorner,404
7347,concreteShapes:3mTunnelInsideCorner,2
7348,concreteShapes:3mTunnelInsideCenter,1
7349,concreteShapes:3mTunnelOutsideCorner,2
7350,concreteShapes:3mTunnelOutsideCenter,1
7482,concreteShapes:plateRound,25
7498,concreteShapes:ramp,24
7534,concreteShapes:wedge60,593
7535,concreteShapes:wedge60Tip,512
7572,concreteShapes:wedge60SlopeTip,12
7823,concreteShapes:plateRamp,4
7985,concreteShapes:stairsFilledQuarterVerticalUV,14
8032,concreteShapes:wedgeStairs,7
8047,concreteShapes:stairs50Split,2
8202,concreteShapes:cubeTrimHalfSplit4Sided,80
8203,concreteShapes:cubeTrimHalfSplit,109
8206,concreteShapes:halfTrimSplit,65
8273,concreteShapes:cubeTrimQuarterEdge,102
8304,concreteShapes:cubeTrimQuarterCornerOutside,56
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,521
8398,concreteShapes:cubeTrimQuarterEdgeDouble,3
8403,concreteShapes:cubeTrimCornerRound,30
8449,concreteShapes:wedgeNarrowHighLeftTrim2Sided,22
8450,concreteShapes:wedgeNarrowMidLeftTrim2Sided,22
8451,concreteShapes:wedgeNarrowLowLeftTrim2Sided,22
8452,concreteShapes:wedgeNarrowTipLeftTrim2Sided,22
8453,concreteShapes:wedgeNarrowBottomTrimLeft,12
8455,concreteShapes:wedgeNarrowHighRightTrim2Sided,22
8456,concreteShapes:wedgeNarrowMidRightTrim2Sided,22
8457,concreteShapes:wedgeNarrowLowRightTrim2Sided,22
8458,concreteShapes:wedgeNarrowTipRightTrim2Sided,22
8463,concreteShapes:wedgeNarrowBottomTrimRight,2
8522,concreteShapes:doorTrim1m,8
8910,concreteShapes:cubeQuarterBroken,8
9049,concreteShapes:cubeTileBroken,2
9131,concreteShapes:plateSidewalkCrooked,43
9132,concreteShapes:plateSidewalkBroke01,26
9133,concreteShapes:plateSidewalkBroke02,32
9134,concreteShapes:plateSidewalkBroke03,30
9135,concreteShapes:plateSidewalkBroke04,9
9138,concreteShapes:roadPaintDash,1455
9139,concreteShapes:roadPaintDashCNTR,269
9141,concreteShapes:roadPaintDiagonal,1
9142,concreteShapes:roadPaintDashDiagonalFiller,66
9156,concreteShapes:roadPaintHandicap,1
9160,concreteShapes:roadPaintArrowRight,3
9163,concreteShapes:roadPaintDashWedgeNarrowTip,24
9164,concreteShapes:roadPaintDashWedgeNarrowLow,24
9165,concreteShapes:roadPaintDashWedgeNarrowMid,24
9166,concreteShapes:roadPaintDashWedgeNarrowHigh,24
9167,concreteShapes:roadPaintDashWedgeNarrowTip2,24
9168,concreteShapes:roadPaintDashWedgeNarrowLow2,24
9169,concreteShapes:roadPaintDashWedgeNarrowMid2,24
9170,concreteShapes:roadPaintDashWedgeNarrowHigh2,24
9315,steelShapes:cube,216
9373,steelShapes:poleCentered,1
