id,name,count
2,terrainFiller,222047
15,terrDestroyedWoodDebris,9
16,terrGravel,1302
17,terrAsphalt,7770
318,woodShapes:poleSideCentered,4
468,woodShapes:pillar50,18
2464,woodShapes:barrierGateBase2,2
2465,woodShapes:barrierGateMiddle,6
2466,woodShapes:barrierGateTip,2
2523,brickShapes:cube,45
2538,brickShapes:cubeHalf,105
2539,brickShapes:cubeHalfCentered,117
3674,brickShapes:cubeTrimHalfSplit4Sided,17
4330,brickShapes:brickDestroyed03,1
4333,brickShapes:brickHalfCenteredDestroyed01,4
4334,brickShapes:brickHalfCenteredDestroyed02,7
4335,brickShapes:brickHalfCenteredDestroyed03,5
4336,brickShapes:brickHalfCenteredDestroyed04,7
4338,brickShapes:brickHalfDestroyed02,1
4339,brickShapes:brickHalfDestroyed03,1
4340,brickShapes:brickHalfDestroyed04,1
4341,brickShapes:brickHalfDestroyed05,1
4342,brickShapes:brickHalfDestroyed06,2
7051,concreteShapes:cube,5246
7066,concreteShapes:cubeHalf,691
7067,concreteShapes:cubeHalfCentered,127
7085,concreteShapes:halfQuarterPost,2
7089,concreteShapes:cubeQuarter,71
7091,concreteShapes:quarterCenteredWall,58
7094,concreteShapes:quarterInsideCorner,24
7095,concreteShapes:quarterInsideCorner3way,7
7108,concreteShapes:pole,155
7166,concreteShapes:poleSquareCornerRound,11
7175,concreteShapes:plate,642
7205,concreteShapes:plateHalf,12
7208,concreteShapes:plateQuarter,4
7239,concreteShapes:billboard,68
7247,concreteShapes:pillar100,20
7283,concreteShapes:halfBlockPillar50,1
7338,concreteShapes:3mTubeCenter,24
7339,concreteShapes:3mTubeCorner,24
7342,concreteShapes:3mTunnelCenter,312
7343,concreteShapes:3mTunnelCenterCorner,1
7344,concreteShapes:3mTunnelCenterCross,2
7345,concreteShapes:3mTunnelCenterTee,6
7346,concreteShapes:3mTunnelCorner,293
7347,concreteShapes:3mTunnelInsideCorner,22
7348,concreteShapes:3mTunnelInsideCenter,11
7349,concreteShapes:3mTunnelOutsideCorner,2
7350,concreteShapes:3mTunnelOutsideCenter,1
7355,concreteShapes:cubeHalf3mCenter,4
7356,concreteShapes:cubeHalf3mCorner,4
7480,concreteShapes:cornerRound,2
7482,concreteShapes:plateRound,29
7498,concreteShapes:ramp,40
7530,concreteShapes:rampSplitLeft05,2
7534,concreteShapes:wedge60,841
7535,concreteShapes:wedge60Tip,759
7541,concreteShapes:wedge60Corner,8
7543,concreteShapes:wedge60InsideCorner2,12
7570,concreteShapes:wedge60SlopeBase,34
7571,concreteShapes:wedge60SlopeMiddle,36
7572,concreteShapes:wedge60SlopeTip,44
7573,concreteShapes:wedge60SlopeTip2,4
7619,concreteShapes:wedge60SplitLeft03,1
7620,concreteShapes:wedge60SplitRight03,3
7623,concreteShapes:wedge60SplitLeft05,1
7624,concreteShapes:wedge60SplitRight05,2
7657,concreteShapes:wedge60TipCornerBase,29
7660,concreteShapes:wedgeInsideCornerTop,1
7666,concreteShapes:wedgeNarrowTip,7
7798,concreteShapes:rampInclineFiller,20
7823,concreteShapes:plateRamp,2
8143,concreteShapes:cubeBaseboard4Sided,6
8202,concreteShapes:cubeTrimHalfSplit4Sided,23
8203,concreteShapes:cubeTrimHalfSplit,16
8206,concreteShapes:halfTrimSplit,10
8273,concreteShapes:cubeTrimQuarterEdge,12
8304,concreteShapes:cubeTrimQuarterCornerOutside,2
8308,concreteShapes:cubeTrimQuarterCornerInside,13
8366,concreteShapes:cubeTrimHalfSplitDiagonal,32
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,252
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,8
8398,concreteShapes:cubeTrimQuarterEdgeDouble,2
8407,concreteShapes:cubeTrimQuarterEdgeRound,4
8910,concreteShapes:cubeQuarterBroken,13
9033,concreteShapes:cupboardCorner,49
9131,concreteShapes:plateSidewalkCrooked,18
9132,concreteShapes:plateSidewalkBroke01,36
9133,concreteShapes:plateSidewalkBroke02,48
9134,concreteShapes:plateSidewalkBroke03,51
9135,concreteShapes:plateSidewalkBroke04,16
9138,concreteShapes:roadPaintDash,746
9139,concreteShapes:roadPaintDashCNTR,370
9141,concreteShapes:roadPaintDiagonal,4
9142,concreteShapes:roadPaintDashDiagonalFiller,19
9158,concreteShapes:roadPaintArrowStraight,2
9159,concreteShapes:roadPaintArrowLeft,1
9160,concreteShapes:roadPaintArrowRight,1
9161,concreteShapes:roadPaintArrowLeftStraight,1
9172,concreteShapes:roadPaintWedgeTip,3
9173,concreteShapes:roadPaintWedgeTip2,7
9174,concreteShapes:roadPaintWedge2,2
9175,concreteShapes:roadPaintWedge2Tip,1
9176,concreteShapes:roadPaintWedge2Tip2,4
9315,steelShapes:cube,110
11277,steelShapes:securityGateCentered,12
11279,steelShapes:securityGatePlate,14
13843,corrugatedMetalShapes:cube,24
13858,corrugatedMetalShapes:cubeHalf,90
13876,corrugatedMetalShapes:cubeHalfPoleQuarterSideCentered,2
13878,corrugatedMetalShapes:halfQuarterPost2,4
13881,corrugatedMetalShapes:cubeQuarter,5
13883,corrugatedMetalShapes:quarterCenteredWall,20
13925,corrugatedMetalShapes:poleSquareDouble,36
13951,corrugatedMetalShapes:polePlate,6
13967,corrugatedMetalShapes:plate,22
13968,corrugatedMetalShapes:plateCentered,15
13997,corrugatedMetalShapes:plateHalf,6
14000,corrugatedMetalShapes:plateQuarter,2
14004,corrugatedMetalShapes:plateQuarterTriangleCorner,24
14052,corrugatedMetalShapes:pillar50,137
14111,corrugatedMetalShapes:pipeStraight,26
14113,corrugatedMetalShapes:pipeJoint,7
14114,corrugatedMetalShapes:pipeFlange,32
14115,corrugatedMetalShapes:pipeFlangeBottom,10
14116,corrugatedMetalShapes:pipeCorner,15
14125,corrugatedMetalShapes:pillar25,24
14126,corrugatedMetalShapes:pillar25x25x25Tee,12
14127,corrugatedMetalShapes:pillar50x25x50Tee,6
14130,corrugatedMetalShapes:3mTubeCenter,84
14131,corrugatedMetalShapes:3mTubeCorner,88
14290,corrugatedMetalShapes:ramp,3
14326,corrugatedMetalShapes:wedge60,8
14327,corrugatedMetalShapes:wedge60Tip,12
14339,corrugatedMetalShapes:wedge60Incline,118
14377,corrugatedMetalShapes:rampInclineHalfLeft,1
14378,corrugatedMetalShapes:rampInclineHalfRight,1
14379,corrugatedMetalShapes:rampInclinePlateLeft,14
14380,corrugatedMetalShapes:rampInclinePlateRight,14
14437,corrugatedMetalShapes:wedge60InclineHalfLeft,2
14438,corrugatedMetalShapes:wedge60InclineHalfRight,2
14558,corrugatedMetalShapes:gableInvertedPlateOffset,2
14589,corrugatedMetalShapes:rampIncline,32
14590,corrugatedMetalShapes:rampInclineFiller,119
14591,corrugatedMetalShapes:rampInclineFillerHalfLeft,2
14592,corrugatedMetalShapes:rampInclineFillerHalfRight,2
14895,corrugatedMetalShapes:catwalkV2RailOnly,26
14902,corrugatedMetalShapes:catwalkV2RailOnlyBentLeft,2
14909,corrugatedMetalShapes:catwalkV2RailOnlyEndLeft,10
14910,corrugatedMetalShapes:catwalkV2RailOnlyEndRight,9
15314,corrugatedMetalShapes:doorTrim1m,4
15332,corrugatedMetalShapes:windowTrimSides,9
