id,name,count
2,terrainFiller,100829
5,terrDirt,189
16,terrGravel,742
17,terrAsphalt,5928
29,terrStoneHelper,2
318,woodShapes:poleSideCentered,4
468,woodShapes:pillar50,18
2463,woodShapes:barrierGateBase,1
2465,woodShapes:barrierGateMiddle,4
2523,brickShapes:cube,62
2539,brickShapes:cubeHalfCentered,213
2563,brickShapes:quarterCenteredWall,53
3674,brickShapes:cubeTrimHalfSplit4Sided,30
4329,brickShapes:brickDestroyed02,1
4330,brickShapes:brickDestroyed03,1
4333,brickShapes:brickHalfCenteredDestroyed01,6
4334,brickShapes:brickHalfCenteredDestroyed02,4
4335,brickShapes:brickHalfCenteredDestroyed03,3
4336,brickShapes:brickHalfCenteredDestroyed04,3
7051,concreteShapes:cube,1240
7066,concreteShapes:cubeHalf,95
7089,concreteShapes:cubeQuarter,66
7091,concreteShapes:quarterCenteredWall,53
7094,concreteShapes:quarterInsideCorner,6
7098,concreteShapes:quarterTeeCentered,2
7108,concreteShapes:pole,149
7166,concreteShapes:poleSquareCornerRound,13
7175,concreteShapes:plate,812
7210,concreteShapes:plateHalfTriangle,6
7239,concreteShapes:billboard,63
7247,concreteShapes:pillar100,8
7342,concreteShapes:3mTunnelCenter,176
7343,concreteShapes:3mTunnelCenterCorner,2
7346,concreteShapes:3mTunnelCorner,176
7347,concreteShapes:3mTunnelInsideCorner,2
7348,concreteShapes:3mTunnelInsideCenter,1
7349,concreteShapes:3mTunnelOutsideCorner,2
7350,concreteShapes:3mTunnelOutsideCenter,1
7482,concreteShapes:plateRound,42
7498,concreteShapes:ramp,16
7534,concreteShapes:wedge60,314
7535,concreteShapes:wedge60Tip,288
7572,concreteShapes:wedge60SlopeTip,8
7823,concreteShapes:plateRamp,8
7985,concreteShapes:stairsFilledQuarterVerticalUV,6
8032,concreteShapes:wedgeStairs,3
8047,concreteShapes:stairs50Split,2
8202,concreteShapes:cubeTrimHalfSplit4Sided,4
8203,concreteShapes:cubeTrimHalfSplit,29
8206,concreteShapes:halfTrimSplit,5
8208,concreteShapes:halfTrimSplit2,19
8273,concreteShapes:cubeTrimQuarterEdge,22
8304,concreteShapes:cubeTrimQuarterCornerOutside,12
8308,concreteShapes:cubeTrimQuarterCornerInside,2
8383,concreteShapes:cubeTrimQuarterEdgeTwoSided,275
8389,concreteShapes:cubeTrimQuarterCornerOutsideTwoSided,2
8398,concreteShapes:cubeTrimQuarterEdgeDouble,2
8403,concreteShapes:cubeTrimCornerRound,22
8855,concreteShapes:cornerstone,1
8899,concreteShapes:concreteDestroyed07,1
8910,concreteShapes:cubeQuarterBroken,20
9049,concreteShapes:cubeTileBroken,2
9131,concreteShapes:plateSidewalkCrooked,19
9132,concreteShapes:plateSidewalkBroke01,42
9133,concreteShapes:plateSidewalkBroke02,17
9134,concreteShapes:plateSidewalkBroke03,19
9135,concreteShapes:plateSidewalkBroke04,26
9138,concreteShapes:roadPaintDash,983
9139,concreteShapes:roadPaintDashCNTR,260
9141,concreteShapes:roadPaintDiagonal,19
9142,concreteShapes:roadPaintDashDiagonalFiller,39
9160,concreteShapes:roadPaintArrowRight,1
9315,steelShapes:cube,107
9373,steelShapes:poleCentered,1
11279,steelShapes:securityGatePlate,8
13843,corrugatedMetalShapes:cube,135
13858,corrugatedMetalShapes:cubeHalf,14
13900,corrugatedMetalShapes:pole,25
13902,corrugatedMetalShapes:poleSideCentered,12
13915,corrugatedMetalShapes:poleSquareSideCenteredCornerBracket,4
13929,corrugatedMetalShapes:cubePoleCorner,2
13997,corrugatedMetalShapes:plateHalf,2
14031,corrugatedMetalShapes:billboard,18
14052,corrugatedMetalShapes:pillar50,113
14085,corrugatedMetalShapes:pillar0.025Middle,4
14087,corrugatedMetalShapes:pillar0.025Double,9
14094,corrugatedMetalShapes:pillar0.05Middle,4
14111,corrugatedMetalShapes:pipeStraight,2
14113,corrugatedMetalShapes:pipeJoint,5
14114,corrugatedMetalShapes:pipeFlange,2
14116,corrugatedMetalShapes:pipeCorner,2
14118,corrugatedMetalShapes:pipeThin,2
14125,corrugatedMetalShapes:pillar25,11
14126,corrugatedMetalShapes:pillar25x25x25Tee,5
14127,corrugatedMetalShapes:pillar50x25x50Tee,3
14130,corrugatedMetalShapes:3mTubeCenter,48
