id,name,count
2,terrainFiller,22271
5,terrDirt,185
15,terrGravel,2275
259,woodShapes:cube,27
310,woodShapes:pole,52
508,woodShapes:poleSupport,16
509,woodShapes:poleSupport2,16
511,woodShapes:poleCross,8
692,woodShapes:ramp,12
1186,woodShapes:catwalkV1,1
1187,woodShapes:catwalkV1RailSingle,3
1191,woodShapes:catwalkV1WedgeRailing,8
1629,woodShapes:windowTrim,20
2088,woodShapes:fence,74
2091,woodShapes:fenceBroken1,4
2092,woodShapes:fenceBroken2,4
8985,steelShapes:pyramid,1
12551,corrugatedMetalShapes:pipeStraight,5
12553,corrugatedMetalShapes:pipeJoint,1
12554,corrugatedMetalShapes:pipeFlange,2
12728,corrugatedMetalShapes:ramp,8
12744,corrugatedMetalShapes:rampCorner,12
12745,corrugatedMetalShapes:rampCornerFiller,4
16796,cntTrashPile02,1
16799,cntTrashPile05,2
16955,woodPoleUtilitySupport,6
16956,woodPillar375,24
16957,woodPillar375UtilityTop,3
16960,utilityInsulator,6
18110,hayBaleSquare,9
18111,hayBaleRound,2
18115,decoWildWestWagon,3
18119,decoCowSkull,2
18242,palletEmpty,2
19607,woodChair1,1
19798,wineBarrelSet,1
19799,wineBarrelPlain,9
20632,ladderMetal,9
20872,metalPipeValve,1
20882,pipeSmallValve,1
21816,treeSmallRandomHelper,10
21818,treeMediumRandomHelper,4
21819,treeLargeRandomHelper,8
