id,name,count
2,terrainFiller,24338
5,terrDirt,144
15,terrGravel,1573
310,woodShapes:pole,47
312,woodShapes:poleSideCentered,18
375,woodShapes:plate,15
1146,woodShapes:stairsRailing,4
1252,woodShapes:railing,9
1255,woodShapes:railingBroke01,5
1954,woodShapes:sawhorse,1
2088,woodShapes:fence,70
2091,woodShapes:fenceBroken1,6
2092,woodShapes:fenceBroken2,5
16948,cntBagsRandomLootHelper,1
16955,woodPoleUtilitySupport,6
16956,woodPillar375,24
16957,woodPillar375UtilityTop,3
16960,utilityInsulator,6
18110,hayBaleSquare,6
18111,hayBaleRound,5
18115,decoWildWestWagon,2
18119,decoCowSkull,2
18123,modularRopeTiled,1
18124,modularRopeTopTied,1
18125,modularRopeNoose,1
18242,palletEmpty,4
18243,palletEmptyStack,1
19071,woodHatch,1
19799,wineBarrelPlain,7
21815,treeStumpPOI,1
21816,treeSmallRandomHelper,8
21818,treeMediumRandomHelper,7
21819,treeLargeRandomHelper,9
21861,plantedGoldenrod3Harvest,1
21956,sleeperSnakeAnimal,8
