id,name,count
2,terrainFiller,22465
5,terrDirt,221
15,terrGravel,2449
310,woodShapes:pole,50
2088,woodShapes:fence,174
2091,woodShapes:fenceBroken1,9
2092,woodShapes:fenceBroken2,9
16799,cntTrashPile05,1
16948,cntBagsRandomLootHelper,1
16955,woodPoleUtilitySupport,6
16956,woodPillar375,24
16957,woodPillar375UtilityTop,3
16960,utilityInsulator,6
18102,cntBirdnest,1
18107,modularFireWoodStackA,2
18108,modularFireWoodStackB,2
18109,modularFireWoodStackC,2
18110,hayBaleSquare,7
18111,hayBaleRound,7
18115,decoWildWestWagon,3
18117,decoWildWestWagonWheelFront,2
18119,decoCowSkull,3
18242,palletEmpty,3
19607,woodChair1,2
19799,wineBarrelPlain,7
20836,rubblePileWoodLarge,1
21816,treeSmallRandomHelper,8
21818,treeMediumRandomHelper,4
21819,treeLargeRandomHelper,9
21861,plantedGoldenrod3Harvest,2
