id,name,count
2,terrainFiller,63513
13,terrDestroyedStone,18
15,terrGravel,2417
16,terrAsphalt,1072
310,woodShapes:pole,301
375,woodShapes:plate,1122
387,woodShapes:plateCorner,38
458,woodShapes:pillar50,35
986,woodShapes:plateDiagonal,6
989,woodShapes:plateDiagonalFiller,1
1015,woodShapes:plateWedge60Tip,6
1022,woodShapes:plateWedge60Incline,6
1025,woodShapes:plateWedge60Filler,4
1837,woodShapes:windowBoarded,61
2091,woodShapes:fence,69
2094,woodShapes:fenceBroken1,16
2095,woodShapes:fenceBroken2,21
2268,brickShapes:cube,10
2284,brickShapes:cubeHalfCentered,21
3859,brickShapes:brickDestroyed03,1
3862,brickShapes:brickHalfCenteredDestroyed01,1
3863,brickShapes:brickHalfCenteredDestroyed02,1
3864,brickShapes:brickHalfCenteredDestroyed03,2
3870,brickShapes:brickHalfDestroyed05,2
6286,concreteShapes:cube,24
6318,concreteShapes:cubeQuarter,4
6320,concreteShapes:quarterCenteredWall,20
6402,concreteShapes:plate,119
6564,concreteShapes:3mTunnelCenter,30
6568,concreteShapes:3mTunnelCorner,24
6704,concreteShapes:plateRound,2
7001,concreteShapes:rampIncline,8
7002,concreteShapes:rampInclineFiller,10
7307,concreteShapes:halfBaseboard4Sided,10
7346,concreteShapes:cubeTrimHalfSplit4Sided,9
7527,concreteShapes:cubeTrimQuarterEdgeTwoSided,2
7541,concreteShapes:cubeTrimCornerRound,8
7639,concreteShapes:doorTrimCorner,3
7643,concreteShapes:doorTrim1m,152
8131,concreteShapes:plateSidewalkCrooked,13
8132,concreteShapes:plateSidewalkBroke01,8
8133,concreteShapes:plateSidewalkBroke02,3
8134,concreteShapes:plateSidewalkBroke03,6
8135,concreteShapes:plateSidewalkBroke04,2
8142,concreteShapes:roadPaintDash,18
12512,corrugatedMetalShapes:pillar50,72
12540,corrugatedMetalShapes:pillar0.025,12
12587,corrugatedMetalShapes:3mTubeCenter,6
12588,corrugatedMetalShapes:3mTubeCorner,4
12828,corrugatedMetalShapes:rampInclineHalfRight,8
12883,corrugatedMetalShapes:wedge60TipHalfLeft,2
12884,corrugatedMetalShapes:wedge60TipHalfRight,2
13030,corrugatedMetalShapes:rampInclineFillerHalfLeft,10
16820,cntTrashPile02,2
16821,cntTrashPile03,4
16823,cntTrashPile05,1
16825,cntTrashPile07,2
16828,garbage_decor1,7
16829,garbage_decor2,7
16893,cntBruteStyleTrashCanRandomLootHelper,2
16894,cntDumpster,2
16927,cntCoolerRandomLootHelper,1
16972,cntBagsRandomLootHelper,1
16979,woodPoleUtilitySupport,18
16980,woodPillar375,72
16981,woodPillar375UtilityTop,9
16983,utilityTransformerHanging,1
16984,utilityInsulator,18
17487,streetLight01,13
17493,streetLightClassic,2
18050,cntBarrelGasOld,1
18117,goreBlockHumanCorpse,1
18119,goreBlockHumanCorpse2,2
18202,palletBrownBoxesTile,1
18203,palletBrownBoxesTop,1
18205,palletBrownBoxesLoose,3
18210,palletBricksPartial2,3
18264,palletCompressedCardboard,3
18266,palletEmpty,1
19595,decoPicnicTable,1
19687,chairCampingRed,1
19841,decoMetalSlide,1
19842,decoSwingSet,1
20027,concretePlateRound13mLeft01,12
20028,concretePlateRound13mLeft02,3
20029,concretePlateRound13mLeft03,3
20030,concretePlateRound13mLeft04,3
20031,concretePlateRound13mLeft05,3
20032,concretePlateRound13mLeft06,3
20033,concretePlateRound13mLeft07,3
20034,concretePlateRound13mLeft08,3
20035,concretePlateRound13mLeft09,3
20036,concretePlateRound13mLeft10,3
20037,concretePlateRound13mLeft11,4
20038,concretePlateRound13mLeft12,3
20039,concretePlateRound13mLeft13,4
20040,concretePlateRound13mLeft14,3
20041,concretePlateRound13mLeft15,4
20042,concretePlateRound13mLeft16,4
20043,concretePlateRound13mLeft17,4
20044,concretePlateRound13mLeft18,4
20045,concretePlateRound13mLeft19,4
20046,concretePlateRound13mLeft20,4
20047,concretePlateRound13mLeft21,4
20048,concretePlateRound13mCenter01,4
20049,concretePlateRound13mCenter02,4
20050,concretePlateRound13mRight01,3
20051,concretePlateRound13mRight02,3
20052,concretePlateRound13mRight03,3
20053,concretePlateRound13mRight04,3
20054,concretePlateRound13mRight05,3
20055,concretePlateRound13mRight06,3
20056,concretePlateRound13mRight07,3
20057,concretePlateRound13mRight08,3
20058,concretePlateRound13mRight09,3
20059,concretePlateRound13mRight10,3
20060,concretePlateRound13mRight11,4
20061,concretePlateRound13mRight12,3
20062,concretePlateRound13mRight13,4
20063,concretePlateRound13mRight14,3
20064,concretePlateRound13mRight15,4
20065,concretePlateRound13mRight16,4
20066,concretePlateRound13mRight17,4
20067,concretePlateRound13mRight18,4
20068,concretePlateRound13mRight19,4
20069,concretePlateRound13mRight20,4
20070,concretePlateRound13mRight21,4
20656,ladderMetal,3
20658,metalCatwalk,1
21071,fireHydrant,3
21727,cntSedan01AirRandomHelper,1
21728,cntMinivan01AirRandomHelper,3
21729,cntSUV01AirRandomHelper,2
21841,treeSmallRandomHelper,7
21843,treeMediumRandomHelper,10
