id,name,count
2,terrainFiller,63059
14,terrDestroyedStone,18
16,terrGravel,2137
17,terrAsphalt,2105
316,woodShapes:pole,324
383,woodShapes:plate,1192
395,woodShapes:plateCorner,36
467,woodShapes:pillar50,21
1010,woodShapes:plateDiagonal,4
1013,woodShapes:plateDiagonalFiller,2
1045,woodShapes:plateWedge60Tip,4
1052,woodShapes:plateWedge60Incline,4
1055,woodShapes:plateWedge60Filler,4
2023,woodShapes:windowBoarded,44
2279,woodShapes:fence,49
2282,woodShapes:fenceBroken1,13
2283,woodShapes:fenceBroken2,13
6952,concreteShapes:cube,24
6990,concreteShapes:cubeQuarter,4
7076,concreteShapes:plate,386
7140,concreteShapes:billboard,12
7241,concreteShapes:3mTunnelCenter,28
7245,concreteShapes:3mTunnelCorner,24
7381,concreteShapes:plateRound,4
8043,concreteShapes:halfBaseboard4Sided,10
8266,concreteShapes:cubeTrimQuarterEdgeTwoSided,4
8286,concreteShapes:cubeTrimCornerRound,8
8389,concreteShapes:doorTrimCorner,10
8393,concreteShapes:doorTrim1m,513
8999,concreteShapes:plateSidewalkCrooked,29
9000,concreteShapes:plateSidewalkBroke01,20
9001,concreteShapes:plateSidewalkBroke02,30
9002,concreteShapes:plateSidewalkBroke03,29
9003,concreteShapes:plateSidewalkBroke04,21
9006,concreteShapes:roadPaintDash,55
13853,corrugatedMetalShapes:pillar50,180
13930,corrugatedMetalShapes:3mTubeCenter,6
13931,corrugatedMetalShapes:3mTubeCorner,4
14236,corrugatedMetalShapes:wedge60TipHalfLeft,2
14237,corrugatedMetalShapes:wedge60TipHalfRight,2
18568,cntTrashPile02,3
18569,cntTrashPile03,1
18576,garbage_decor1,2
18577,garbage_decor2,1
18660,cntBruteStyleTrashCanRandomLootHelper,3
18661,cntDumpster,2
18749,cntBagsRandomLootHelper,2
18755,woodPoleUtilitySupport,22
18756,woodPillar375,88
18757,woodPillar375UtilityTop,11
18759,utilityTransformerHanging,3
18760,utilityInsulator,22
19256,streetLight01,23
19739,guardRailStraight,6
19740,guardRailPole,4
19741,guardRailBarrierFlipped,2
19742,guardRailBarrier,2
19887,cntBarrelGasOld,1
20046,palletBrownBoxesTop,2
20048,palletBrownBoxesLoose,3
20091,palletTarpBaseRandomHelper,1
20105,palletCompressedCardboard,3
20108,palletEmpty,1
21564,decoPicnicTable,1
21800,parkBenchA,1
23085,fireHydrant,4
23105,signRoadCourtlandApache,1
23108,signRoadCourtlandBell,1
23136,signRoadStop,3
23795,cntSedan01AirRandomHelper,1
23796,cntMinivan01AirRandomHelper,2
23797,cntSUV01AirRandomHelper,2
23931,treeSmallRandomHelper,6
23933,treeMediumRandomHelper,11
23934,treeLargeRandomHelper,1
