id,name,count
2,terrainFiller,62679
14,terrDestroyedStone,16
16,terrGravel,1747
17,terrAsphalt,2539
18,terrConcrete,56
316,woodShapes:pole,298
383,woodShapes:plate,964
395,woodShapes:plateCorner,32
1010,woodShapes:plateDiagonal,12
1013,woodShapes:plateDiagonalFiller,4
1045,woodShapes:plateWedge60Tip,14
1052,woodShapes:plateWedge60Incline,14
1055,woodShapes:plateWedge60Filler,14
2023,woodShapes:windowBoarded,35
2279,woodShapes:fence,60
2282,woodShapes:fenceBroken1,9
2283,woodShapes:fenceBroken2,8
6952,concreteShapes:cube,24
6967,concreteShapes:cubeHalf,8
6990,concreteShapes:cubeQuarter,4
7076,concreteShapes:plate,453
7111,concreteShapes:plateHalfTriangle,12
7241,concreteShapes:3mTunnelCenter,30
7245,concreteShapes:3mTunnelCorner,24
7433,concreteShapes:wedge60Tip,16
8043,concreteShapes:halfBaseboard4Sided,10
8266,concreteShapes:cubeTrimQuarterEdgeTwoSided,3
8286,concreteShapes:cubeTrimCornerRound,10
8393,concreteShapes:doorTrim1m,480
8999,concreteShapes:plateSidewalkCrooked,23
9000,concreteShapes:plateSidewalkBroke01,15
9001,concreteShapes:plateSidewalkBroke02,28
9002,concreteShapes:plateSidewalkBroke03,20
9003,concreteShapes:plateSidewalkBroke04,8
9006,concreteShapes:roadPaintDash,104
9009,concreteShapes:roadPaintDiagonal,28
9010,concreteShapes:roadPaintDashDiagonalFiller,40
9026,concreteShapes:roadPaintArrowStraight,4
9028,concreteShapes:roadPaintArrowRight,5
9039,concreteShapes:roadPaintWedge,8
9040,concreteShapes:roadPaintWedgeTip,8
9041,concreteShapes:roadPaintWedgeTip2,8
9042,concreteShapes:roadPaintWedge2,12
9043,concreteShapes:roadPaintWedge2Tip,16
9044,concreteShapes:roadPaintWedge2Tip2,16
13853,corrugatedMetalShapes:pillar50,225
13930,corrugatedMetalShapes:3mTubeCenter,6
13931,corrugatedMetalShapes:3mTubeCorner,4
14236,corrugatedMetalShapes:wedge60TipHalfLeft,2
14237,corrugatedMetalShapes:wedge60TipHalfRight,2
14382,corrugatedMetalShapes:rampIncline,4
18568,cntTrashPile02,3
18576,garbage_decor1,3
18577,garbage_decor2,1
18660,cntBruteStyleTrashCanRandomLootHelper,2
18661,cntDumpster,2
18755,woodPoleUtilitySupport,20
18756,woodPillar375,80
18757,woodPillar375UtilityTop,10
18760,utilityInsulator,20
19256,streetLight01,25
19887,cntBarrelGasOld,1
20046,palletBrownBoxesTop,1
20048,palletBrownBoxesLoose,3
20091,palletTarpBaseRandomHelper,2
20105,palletCompressedCardboard,3
22005,concretePlateRound13mLeft05,4
22006,concretePlateRound13mLeft06,4
22007,concretePlateRound13mLeft07,4
22008,concretePlateRound13mLeft08,4
22009,concretePlateRound13mLeft09,4
22010,concretePlateRound13mLeft10,4
22011,concretePlateRound13mLeft11,4
22013,concretePlateRound13mLeft13,4
22014,concretePlateRound13mLeft14,4
22015,concretePlateRound13mLeft15,4
22016,concretePlateRound13mLeft16,4
22017,concretePlateRound13mLeft17,4
22018,concretePlateRound13mLeft18,4
22019,concretePlateRound13mLeft19,4
22020,concretePlateRound13mLeft20,4
22021,concretePlateRound13mLeft21,4
22022,concretePlateRound13mCenter01,4
22023,concretePlateRound13mCenter02,4
22028,concretePlateRound13mRight05,4
22029,concretePlateRound13mRight06,4
22030,concretePlateRound13mRight07,4
22031,concretePlateRound13mRight08,4
22032,concretePlateRound13mRight09,4
22033,concretePlateRound13mRight10,4
22034,concretePlateRound13mRight11,4
22036,concretePlateRound13mRight13,4
22037,concretePlateRound13mRight14,4
22038,concretePlateRound13mRight15,4
22039,concretePlateRound13mRight16,4
22040,concretePlateRound13mRight17,4
22041,concretePlateRound13mRight18,4
22042,concretePlateRound13mRight19,4
22043,concretePlateRound13mRight20,4
22044,concretePlateRound13mRight21,4
22069,cntPostMailbox,1
23085,fireHydrant,4
23111,signRoadCourtlandTran,2
23114,signRoadLangTran,2
23129,signRoadSlow,4
23795,cntSedan01AirRandomHelper,2
23796,cntMinivan01AirRandomHelper,1
23797,cntSUV01AirRandomHelper,1
23800,cntPoliceCar01AirRandomHelper,1
23931,treeSmallRandomHelper,10
23933,treeMediumRandomHelper,10
23934,treeLargeRandomHelper,1
