id,name,count
2,terrainFiller,62169
13,terrDestroyedStone,12
15,terrGravel,1894
16,terrAsphalt,2817
310,woodShapes:pole,244
375,woodShapes:plate,911
387,woodShapes:plateCorner,40
986,woodShapes:plateDiagonal,8
989,woodShapes:plateDiagonalFiller,4
1015,woodShapes:plateWedge60Tip,8
1022,woodShapes:plateWedge60Incline,8
1025,woodShapes:plateWedge60Filler,8
1837,woodShapes:windowBoarded,24
2091,woodShapes:fence,49
2094,woodShapes:fenceBroken1,6
2095,woodShapes:fenceBroken2,7
6286,concreteShapes:cube,24
6318,concreteShapes:cubeQuarter,4
6402,concreteShapes:plate,465
6465,concreteShapes:billboard,12
6564,concreteShapes:3mTunnelCenter,30
6568,concreteShapes:3mTunnelCorner,24
6704,concreteShapes:plateRound,12
7307,concreteShapes:halfBaseboard4Sided,10
7527,concreteShapes:cubeTrimQuarterEdgeTwoSided,7
7541,concreteShapes:cubeTrimCornerRound,14
7643,concreteShapes:doorTrim1m,585
8131,concreteShapes:plateSidewalkCrooked,31
8132,concreteShapes:plateSidewalkBroke01,30
8133,concreteShapes:plateSidewalkBroke02,45
8134,concreteShapes:plateSidewalkBroke03,29
8135,concreteShapes:plateSidewalkBroke04,18
8142,concreteShapes:roadPaintDash,44
8145,concreteShapes:roadPaintDiagonal,3
8146,concreteShapes:roadPaintDashDiagonalFiller,6
8164,concreteShapes:roadPaintWedgeTip,3
8165,concreteShapes:roadPaintWedgeTip2,3
8167,concreteShapes:roadPaintWedge2Tip,3
8168,concreteShapes:roadPaintWedge2Tip2,3
12365,corrugatedMetalShapes:poleCentered,1
12366,corrugatedMetalShapes:poleSideCentered,4
12512,corrugatedMetalShapes:pillar50,234
12587,corrugatedMetalShapes:3mTubeCenter,6
12588,corrugatedMetalShapes:3mTubeCorner,4
12883,corrugatedMetalShapes:wedge60TipHalfLeft,2
12884,corrugatedMetalShapes:wedge60TipHalfRight,2
16821,cntTrashPile03,1
16823,cntTrashPile05,1
16825,cntTrashPile07,1
16828,garbage_decor1,2
16829,garbage_decor2,2
16893,cntBruteStyleTrashCanRandomLootHelper,1
16894,cntDumpster,2
16972,cntBagsRandomLootHelper,1
16979,woodPoleUtilitySupport,18
16980,woodPillar375,72
16981,woodPillar375UtilityTop,9
16983,utilityTransformerHanging,2
16984,utilityInsulator,18
17487,streetLight01,26
17928,guardRailStraight,14
17929,guardRailPole,8
17930,guardRailBarrierFlipped,4
17931,guardRailBarrier,4
18119,goreBlockHumanCorpse2,1
18250,palletTarpBaseRandomHelper,1
18266,palletEmpty,1
19595,decoPicnicTable,2
19815,parkBenchA,1
19843,decoBasketBallHoop,1
20027,concretePlateRound13mLeft01,6
20028,concretePlateRound13mLeft02,3
20029,concretePlateRound13mLeft03,3
20030,concretePlateRound13mLeft04,3
20031,concretePlateRound13mLeft05,3
20032,concretePlateRound13mLeft06,3
20033,concretePlateRound13mLeft07,3
20034,concretePlateRound13mLeft08,3
20035,concretePlateRound13mLeft09,3
20036,concretePlateRound13mLeft10,3
20037,concretePlateRound13mLeft11,3
20038,concretePlateRound13mLeft12,3
20039,concretePlateRound13mLeft13,3
20040,concretePlateRound13mLeft14,3
20041,concretePlateRound13mLeft15,3
20042,concretePlateRound13mLeft16,5
20043,concretePlateRound13mLeft17,5
20044,concretePlateRound13mLeft18,5
20045,concretePlateRound13mLeft19,5
20046,concretePlateRound13mLeft20,5
20047,concretePlateRound13mLeft21,5
20048,concretePlateRound13mCenter01,5
20049,concretePlateRound13mCenter02,5
20050,concretePlateRound13mRight01,6
20051,concretePlateRound13mRight02,3
20052,concretePlateRound13mRight03,3
20053,concretePlateRound13mRight04,3
20054,concretePlateRound13mRight05,3
20055,concretePlateRound13mRight06,3
20056,concretePlateRound13mRight07,3
20057,concretePlateRound13mRight08,3
20058,concretePlateRound13mRight09,3
20059,concretePlateRound13mRight10,3
20060,concretePlateRound13mRight11,3
20061,concretePlateRound13mRight12,2
20062,concretePlateRound13mRight13,2
20063,concretePlateRound13mRight14,2
20064,concretePlateRound13mRight15,2
20065,concretePlateRound13mRight16,5
20066,concretePlateRound13mRight17,5
20067,concretePlateRound13mRight18,5
20068,concretePlateRound13mRight19,5
20069,concretePlateRound13mRight20,5
20070,concretePlateRound13mRight21,5
21071,fireHydrant,7
21087,signRoadCourtlandApache,1
21090,signRoadCourtlandBell,1
21092,signRoadCourtlandMaple,1
21118,signRoadStop,3
21377,carWrecksRandomHelper,1
21727,cntSedan01AirRandomHelper,1
21728,cntMinivan01AirRandomHelper,1
21729,cntSUV01AirRandomHelper,2
21732,cntPoliceCar01AirRandomHelper,1
21841,treeSmallRandomHelper,6
21843,treeMediumRandomHelper,12
21844,treeLargeRandomHelper,1
