id,name,count
2,terrainFiller,62277
14,terrDestroyedStone,26
16,terrGravel,1588
17,terrAsphalt,3151
310,woodShapes:pole,238
375,woodShapes:plate,886
387,woodShapes:plateCorner,32
988,woodShapes:plateDiagonal,4
991,woodShapes:plateDiagonalFiller,2
1017,woodShapes:plateWedge60Tip,4
1024,woodShapes:plateWedge60Incline,4
1027,woodShapes:plateWedge60Filler,4
1869,woodShapes:windowBoarded,33
2123,woodShapes:fence,63
2126,woodShapes:fenceBroken1,11
2127,woodShapes:fenceBroken2,3
6433,concreteShapes:cube,24
6465,concreteShapes:cubeQuarter,4
6549,concreteShapes:plate,392
6613,concreteShapes:billboard,8
6712,concreteShapes:3mTunnelCenter,28
6716,concreteShapes:3mTunnelCorner,20
6852,concreteShapes:plateRound,14
7463,concreteShapes:halfBaseboard4Sided,10
7683,concreteShapes:cubeTrimQuarterEdgeTwoSided,4
7700,concreteShapes:cubeTrimCornerRound,8
7798,concreteShapes:doorTrimCorner,2
7802,concreteShapes:doorTrim1m,261
8321,concreteShapes:plateSidewalkCrooked,12
8322,concreteShapes:plateSidewalkBroke01,27
8323,concreteShapes:plateSidewalkBroke02,29
8324,concreteShapes:plateSidewalkBroke03,23
8325,concreteShapes:plateSidewalkBroke04,18
8332,concreteShapes:roadPaintDash,63
8335,concreteShapes:roadPaintDiagonal,1
8336,concreteShapes:roadPaintDashDiagonalFiller,9
8353,concreteShapes:roadPaintWedge,4
8356,concreteShapes:roadPaintWedge2,4
8357,concreteShapes:roadPaintWedge2Tip,1
8358,concreteShapes:roadPaintWedge2Tip2,1
12807,corrugatedMetalShapes:pillar50,189
12882,corrugatedMetalShapes:3mTubeCenter,6
12883,corrugatedMetalShapes:3mTubeCorner,4
13179,corrugatedMetalShapes:wedge60TipHalfLeft,2
13180,corrugatedMetalShapes:wedge60TipHalfRight,2
17155,cntTrashPile02,1
17163,garbage_decor1,1
17164,garbage_decor2,1
17229,cntBruteStyleTrashCanRandomLootHelper,2
17230,cntDumpster,1
17308,cntBagsRandomLootHelper,1
17315,woodPoleUtilitySupport,14
17316,woodPillar375,56
17317,woodPillar375UtilityTop,7
17319,utilityTransformerHanging,2
17320,utilityInsulator,14
17819,streetLight01,21
18388,cntBarrelGasOld,1
18459,goreBlockHumanCorpse3,1
18527,palletBrownBoxesTop,1
18529,palletBrownBoxesLoose,1
20327,concretePlateRound13mLeft01,15
20328,concretePlateRound13mLeft02,7
20329,concretePlateRound13mLeft03,7
20330,concretePlateRound13mLeft04,7
20331,concretePlateRound13mLeft05,7
20332,concretePlateRound13mLeft06,7
20333,concretePlateRound13mLeft07,7
20334,concretePlateRound13mLeft08,7
20335,concretePlateRound13mLeft09,7
20336,concretePlateRound13mLeft10,7
20337,concretePlateRound13mLeft11,8
20338,concretePlateRound13mLeft12,8
20339,concretePlateRound13mLeft13,9
20340,concretePlateRound13mLeft14,9
20341,concretePlateRound13mLeft15,9
20342,concretePlateRound13mLeft16,14
20343,concretePlateRound13mLeft17,14
20344,concretePlateRound13mLeft18,14
20345,concretePlateRound13mLeft19,14
20346,concretePlateRound13mLeft20,14
20347,concretePlateRound13mLeft21,14
20348,concretePlateRound13mCenter01,14
20349,concretePlateRound13mCenter02,14
20350,concretePlateRound13mRight01,12
20351,concretePlateRound13mRight02,7
20352,concretePlateRound13mRight03,7
20353,concretePlateRound13mRight04,7
20354,concretePlateRound13mRight05,7
20355,concretePlateRound13mRight06,7
20356,concretePlateRound13mRight07,7
20357,concretePlateRound13mRight08,7
20358,concretePlateRound13mRight09,7
20359,concretePlateRound13mRight10,7
20360,concretePlateRound13mRight11,8
20361,concretePlateRound13mRight12,8
20362,concretePlateRound13mRight13,9
20363,concretePlateRound13mRight14,9
20364,concretePlateRound13mRight15,9
20365,concretePlateRound13mRight16,14
20366,concretePlateRound13mRight17,14
20367,concretePlateRound13mRight18,14
20368,concretePlateRound13mRight19,14
20369,concretePlateRound13mRight20,14
20370,concretePlateRound13mRight21,14
21384,fireHydrant,4
21403,signRoadCourtlandBell,1
21404,signRoadCourtlandHuenink,1
21431,signRoadStop,2
21701,carWrecksRandomHelper,1
22051,cntSedan01AirRandomHelper,1
22052,cntMinivan01AirRandomHelper,2
22053,cntSUV01AirRandomHelper,1
22056,cntPoliceCar01AirRandomHelper,1
22171,treeSmallRandomHelper,7
22173,treeMediumRandomHelper,12
