id,name,count
2,terrainFiller,110267
5,terrDirt,228
15,terrGravel,492
16,terrAsphalt,1272
458,woodShapes:pillar50,9
6465,concreteShapes:billboard,4
6475,concreteShapes:pillar100Open,20
8142,concreteShapes:roadPaintDash,238
8145,concreteShapes:roadPaintDiagonal,4
8146,concreteShapes:roadPaintDashDiagonalFiller,6
16979,woodPoleUtilitySupport,8
16980,woodPillar375,34
16981,woodPillar375UtilityTop,4
16983,utilityTransformerHanging,1
16984,utilityInsulator,8
17487,streetLight01,1
17928,guardRailStraight,44
17929,guardRailPole,22
17930,guardRailBarrierFlipped,6
17931,guardRailBarrier,6
18167,rockResource,7
18170,rockResource02,6
21118,signRoadStop,1
21729,cntSUV01AirRandomHelper,1
21841,treeSmallRandomHelper,6
21843,treeMediumRandomHelper,10
21844,treeLargeRandomHelper,8
