id,name,count
2,terrainFiller,85797
5,terrDirt,171
13,terrDestroyedStone,9
15,terrGravel,877
16,terrAsphalt,2374
310,woodShapes:pole,14
458,woodShapes:pillar50,18
2091,woodShapes:fence,49
2094,woodShapes:fenceBroken1,4
2095,woodShapes:fenceBroken2,4
6286,concreteShapes:cube,24
6318,concreteShapes:cubeQuarter,4
6465,concreteShapes:billboard,4
6475,concreteShapes:pillar100Open,15
6564,concreteShapes:3mTunnelCenter,23
6568,concreteShapes:3mTunnelCorner,18
7307,concreteShapes:halfBaseboard4Sided,10
8142,concreteShapes:roadPaintDash,449
8145,concreteShapes:roadPaintDiagonal,4
8146,concreteShapes:roadPaintDashDiagonalFiller,6
12587,corrugatedMetalShapes:3mTubeCenter,6
12588,corrugatedMetalShapes:3mTubeCorner,4
12883,corrugatedMetalShapes:wedge60TipHalfLeft,2
12884,corrugatedMetalShapes:wedge60TipHalfRight,2
16820,cntTrashPile02,1
16823,cntTrashPile05,1
16829,garbage_decor2,2
16972,cntBagsRandomLootHelper,2
16979,woodPoleUtilitySupport,10
16980,woodPillar375,40
16981,woodPillar375UtilityTop,5
16983,utilityTransformerHanging,1
16984,utilityInsulator,10
17487,streetLight01,2
17928,guardRailStraight,24
17929,guardRailPole,16
17930,guardRailBarrierFlipped,4
17931,guardRailBarrier,4
18096,decoCarTireSmallFlat,1
18119,goreBlockHumanCorpse2,1
18134,hayBaleSquare,1
18135,hayBaleRound,3
20853,rubblePileBricks,1
21091,signRoadCourtlandHuenink,1
21115,signRoadSpeed45,1
21119,signRoadStop4way,1
21688,tractorRed,1
21732,cntPoliceCar01AirRandomHelper,1
21841,treeSmallRandomHelper,8
21843,treeMediumRandomHelper,5
21844,treeLargeRandomHelper,5
21857,treeForestGrassDiagonal,11
21981,sleeperSnakeAnimal,5
