id,name,count
2,terrainFiller,181349
3,terrainFillerAdaptive,2
16,terrGravel,361
17,terrAsphalt,1157
19,terrOreIron,2962
20,terrOreLead,758
21,terrOreCoal,820
22,terrOrePotassiumNitrate,917
25,terrOreStoneLeadRandom,15
27,terrOreStonePotassiumRandom,6
29,terrStoneHelper,54565
8824,concreteShapes:roadPaintDash,126
18333,woodPoleUtilitySupport,8
18334,woodPillar375,32
18335,woodPillar375UtilityTop,4
18337,utilityTransformerHanging,2
18338,utilityInsulator,8
19301,guardRailBarrierFlipped,2
19302,guardRailBarrier,2
19304,guardRailStraightLong,10
22664,signRoadSpeed45,1
23418,treeSmallRandomHelper,13
23419,treeSmallThinRandomHelper,3
23420,treeMediumRandomHelper,5
23421,treeLargeRandomHelper,6
