id,name,count
2,terrainFiller,85199
5,terrDirt,258
15,terrGravel,644
16,terrAsphalt,3297
312,woodShapes:poleSideCentered,8
458,woodShapes:pillar50,45
6465,concreteShapes:billboard,16
6475,concreteShapes:pillar100Open,21
8142,concreteShapes:roadPaintDash,616
8145,concreteShapes:roadPaintDiagonal,8
8146,concreteShapes:roadPaintDashDiagonalFiller,12
16820,cntTrashPile02,1
16825,cntTrashPile07,1
16828,garbage_decor1,1
16829,garbage_decor2,1
16830,garbage_decor3,1
16978,woodPillar50UtilityTop,8
16979,woodPoleUtilitySupport,28
16980,woodPillar375,48
16981,woodPillar375UtilityTop,6
16983,utilityTransformerHanging,2
16984,utilityInsulator,36
17487,streetLight01,1
17928,guardRailStraight,36
17929,guardRailPole,24
17930,guardRailBarrierFlipped,6
17931,guardRailBarrier,6
18096,decoCarTireSmallFlat,2
18134,hayBaleSquare,8
18135,hayBaleRound,3
21091,signRoadCourtlandHuenink,2
21115,signRoadSpeed45,2
21119,signRoadStop4way,4
21729,cntSUV01AirRandomHelper,1
21732,cntPoliceCar01AirRandomHelper,1
21841,treeSmallRandomHelper,12
21843,treeMediumRandomHelper,4
21844,treeLargeRandomHelper,5
