id,name,count
1,terrStone,4
2,terrainFiller,88985
5,terrDirt,258
16,terrGravel,978
17,terrAsphalt,3297
318,woodShapes:poleSideCentered,8
467,woodShapes:pillar50,45
7167,concreteShapes:billboard,16
7177,concreteShapes:pillar100Open,21
9042,concreteShapes:roadPaintDash,616
9045,concreteShapes:roadPaintDiagonal,8
9046,concreteShapes:roadPaintDashDiagonalFiller,12
18640,cntTrashPile02,1
18645,cntTrashPile07,1
18649,garbage_decor1,1
18650,garbage_decor2,1
18651,garbage_decor3,1
18827,woodPillar50UtilityTop,8
18828,woodPoleUtilitySupport,28
18829,woodPillar375,48
18830,woodPillar375UtilityTop,6
18832,utilityTransformerHanging,2
18833,utilityInsulator,36
19329,streetLight01,1
19812,guardRailStraight,36
19813,guardRailPole,24
19814,guardRailBarrierFlipped,6
19815,guardRailBarrier,6
20014,decoCarTireSmallFlat,2
20076,hayBaleSquare,8
20077,hayBaleRound,3
20103,resourceRock01,3
20104,resourceRock02,2
20105,resourceRock03,2
23190,signRoadCourtlandHuenink,2
23214,signRoadSpeed45,2
23218,signRoadStop4way,4
23878,cntSUV01AirRandomHelper,1
23881,cntPoliceCar01AirRandomHelper,1
24012,treeSmallRandomHelper,23
24014,treeMediumRandomHelper,13
24015,treeLargeRandomHelper,12
