id,name,count
2,terrainFiller,83781
5,terrDirt,1951
16,terrGravel,1226
17,terrAsphalt,2444
310,woodShapes:pole,133
312,woodShapes:poleSideCentered,4
316,woodShapes:poleTwoWayCorner,4
317,woodShapes:poleThreeWayCorner,2
325,woodShapes:poleSquareBracketCorner,4
375,woodShapes:plate,42
413,woodShapes:poleCornerCubePlate,6
419,woodShapes:platePoleCorner,23
459,woodShapes:pillar50,18
1007,woodShapes:plateWedge60Left,2
1008,woodShapes:plateWedge60Right,2
1009,woodShapes:plateWedge60LeftTip,4
1010,woodShapes:plateWedge60RightTip,4
1632,woodShapes:doorTrim1mDouble,3
2125,woodShapes:fence,324
2128,woodShapes:fenceBroken1,7
2129,woodShapes:fenceBroken2,7
6613,concreteShapes:billboard,4
6623,concreteShapes:pillar100Open,17
6633,concreteShapes:pillar50,14
6647,concreteShapes:pillar50CenterPlate,8
6696,concreteShapes:pipeThin,2
8332,concreteShapes:roadPaintDash,322
8335,concreteShapes:roadPaintDiagonal,77
8336,concreteShapes:roadPaintDashDiagonalFiller,70
8353,concreteShapes:roadPaintWedge,9
8354,concreteShapes:roadPaintWedgeTip,12
8355,concreteShapes:roadPaintWedgeTip2,12
8356,concreteShapes:roadPaintWedge2,3
8357,concreteShapes:roadPaintWedge2Tip,4
8358,concreteShapes:roadPaintWedge2Tip2,4
12623,corrugatedMetalShapes:cubeHalfCentered,6
12660,corrugatedMetalShapes:poleSideCentered,4
12848,corrugatedMetalShapes:pillar0.05Middle,5
13077,corrugatedMetalShapes:wedge60Tip,18
13365,corrugatedMetalShapes:plateWedge60Tip,17
13372,corrugatedMetalShapes:plateWedge60Incline,15
13375,corrugatedMetalShapes:plateWedge60Filler,17
13515,corrugatedMetalShapes:stairsSpiralPillar,2
13516,corrugatedMetalShapes:stairsSpiralPillarRailingLeft,2
13605,corrugatedMetalShapes:ladderRails,4
13976,corrugatedMetalShapes:doorTrim1m,20
13977,corrugatedMetalShapes:doorTrim1mOffCenter,2
13979,corrugatedMetalShapes:doorTrimDiagonal,2
13980,corrugatedMetalShapes:doorTrim1mDouble,2
13984,corrugatedMetalShapes:doorTrimTwoSided,2
13985,corrugatedMetalShapes:doorTrimThreeSided,2
14028,corrugatedMetalShapes:windowStoreFourSidedFull,3
14292,corrugatedMetalShapes:plateDiagonalDestroyed04,1
14295,corrugatedMetalShapes:plateWedge60InclineDestroyed,1
14297,corrugatedMetalShapes:plateWedge60TipDestroyed,1
14298,corrugatedMetalShapes:plateWedge60TipDestroyed02,1
14456,corrugatedMetalShapes:ladderRound,2
16912,cntAmmoPileSmall,1
17152,cntTrashPile02,2
17153,cntTrashPile03,1
17157,cntTrashPile07,2
17160,garbage_decor1,4
17161,garbage_decor2,5
17225,cntDumpster,1
17303,cntBagsRandomLootHelper,2
17310,woodPoleUtilitySupport,12
17311,woodPillar375,50
17312,woodPillar375UtilityTop,6
17314,utilityTransformerHanging,4
17315,utilityInsulator,20
17645,lightWallGooseneckBlack,1
17723,lanternOld_02,2
17813,streetLight01,2
17846,burningBarrel,1
18064,tarpFenceGreen,2
18065,tarpFenceFallingRightGreen,2
18066,tarpFenceFallingLeftGreen,1
18067,tarpFenceSagingGreen,2
18070,tarpFenceBlue,3
18071,tarpFenceFallingRightBlue,2
18072,tarpFenceFallingLeftBlue,2
18073,tarpFenceSagingBlue,2
18076,tarpFenceRed,1
18078,tarpFenceFallingLeftRed,2
18079,tarpFenceSagingRed,1
18255,guardRailStraight,36
18256,guardRailPole,16
18257,guardRailBarrierFlipped,4
18258,guardRailBarrier,4
18409,decoCarFrontBumperFlat,1
18410,decoCarFrontBumperFlipped,1
18417,decoCarSeatUpright,1
18428,decoCarTireSmallFlat,1
18430,decoCarTirePile,1
18431,decoCarTireStack,1
18448,goreBlockAnimal,8
18453,goreBlockHumanCorpse3,1
18466,hayBaleSquare,11
18467,hayBaleRound,13
18472,decoWildWestWagonWheelBack,1
18484,cinderBlocks01,1
18493,rockResource,4
18496,rockResource02,4
18848,oldWoodDoor,1
19198,woodenFenceDoorBrown,3
19207,ironGarageDoorWhite,2
20041,wineBarrelPlain,4
20926,barrierConcrete,2
21068,rubblePileWoodLarge,1
21321,signRoadStop,1
21531,barbedWireSheet,236
21589,carsRandomHelper,1
21659,abandonedSUV01Grey,1
21900,tractorRed,2
22059,treeSmallRandomHelper,9
22061,treeMediumRandomHelper,4
22062,treeLargeRandomHelper,6
22130,plantedCornHarvestRandomHelper,408
22190,sleeperWolfAnimal,3
