id,name,count
2,terrainFiller,84426
5,terrDirt,199
15,terrGravel,1230
16,terrAsphalt,3662
310,woodShapes:pole,26
2091,woodShapes:fence,95
2094,woodShapes:fenceBroken1,5
2095,woodShapes:fenceBroken2,5
6465,concreteShapes:billboard,8
6475,concreteShapes:pillar100Open,22
8142,concreteShapes:roadPaintDash,642
8145,concreteShapes:roadPaintDiagonal,23
8146,concreteShapes:roadPaintDashDiagonalFiller,30
8163,concreteShapes:roadPaintWedge,9
8164,concreteShapes:roadPaintWedgeTip,11
8165,concreteShapes:roadPaintWedgeTip2,11
8166,concreteShapes:roadPaintWedge2,9
8167,concreteShapes:roadPaintWedge2Tip,12
8168,concreteShapes:roadPaintWedge2Tip2,12
12512,corrugatedMetalShapes:pillar50,9
16979,woodPoleUtilitySupport,14
16980,woodPillar375,56
16981,woodPillar375UtilityTop,7
16983,utilityTransformerHanging,1
16984,utilityInsulator,14
17487,streetLight01,1
17928,guardRailStraight,30
17929,guardRailPole,20
17930,guardRailBarrierFlipped,5
17931,guardRailBarrier,5
21084,signRoadBellLake,1
21090,signRoadCourtlandBell,1
21118,signRoadStop,2
21688,tractorRed,1
21728,cntMinivan01AirRandomHelper,1
21729,cntSUV01AirRandomHelper,1
21841,treeSmallRandomHelper,11
21843,treeMediumRandomHelper,8
21844,treeLargeRandomHelper,1
